policy_id,user_id,policy_type,policy_status,issue_date,expiry_date,premium_amount,coverage_amount,Markdown Formatt
POL3019,USR1006,Health,Under Review,24-01-2019 00:00,04-10-2025 00:00,46037.42,601678.14,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3021,USR1007,Business,Expired,14-10-2023 00:00,15-09-2025 00:00,31654.27,1851543.13,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3022,USR1007,Travel,Cancelled,03-03-2018 00:00,18-09-2024 00:00,3677.18,510006.47,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3024,USR1008,Business,Pending,19-04-2021 00:00,04-12-2024 00:00,6080.09,1209598.64,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3025,USR1008,Business,Active,28-09-2019 00:00,30-06-2024 00:00,16056.97,1265591.07,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3026,USR1008,Travel,Expired,19-05-2019 00:00,10-09-2026 00:00,11318.68,1583847.06,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3027,USR1009,Health,Active,01-08-2021 00:00,06-10-2024 00:00,17931.59,1442995.77,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3030,USR1010,Life,Cancelled,29-09-2017 00:00,06-01-2026 00:00,35787.06,645716.28,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3031,USR1010,Business,Cancelled,05-11-2020 00:00,20-06-2026 00:00,17898.85,720097.86,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3033,USR1011,Home,Expired,03-04-2023 00:00,10-08-2024 00:00,36245.36,422120.85,"## For Home Insurance
- **Property Type:** Apartment
- **Property Value:** ₹50,00,000
- **Year Built:** 2015
- **Natural Disaster Cover:** Yes
- **Theft Cover:** Yes
- **Structure & Contents:** Combined
"
POL3034,USR1011,Car,Expired,09-08-2015 00:00,22-06-2025 00:00,25707.11,237572.99,"## For Car Insurance
- **Vehicle Type:** SUV
- **Vehicle Model:** Swift 456
- **Registration Number:** MH-12-AB-4567
- **Manufacture Year:** 2019
- **Insured Declared Value (IDV):** ₹7,00,000
- **Driver Age:** 34
- **Accident History:** 1 claim
- **Third Party Cover:** Yes
- **Add-ons:** Zero Depreciation, Engine Protect
"
POL3035,USR1011,Health,Under Review,24-08-2021 00:00,11-01-2027 00:00,41499.86,1505777.61,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3036,USR1012,Travel,Active,16-12-2022 00:00,12-05-2025 00:00,40075.67,1545786.28,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3037,USR1012,Business,Under Review,09-06-2021 00:00,09-12-2026 00:00,23123.99,472772.92,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3038,USR1012,Travel,Active,17-07-2021 00:00,25-09-2025 00:00,37428.87,261209.82,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3039,USR1013,Car,Under Review,28-05-2017 00:00,13-02-2027 00:00,23757.52,1437459.11,"## For Car Insurance
- **Vehicle Type:** SUV
- **Vehicle Model:** Swift 456
- **Registration Number:** MH-12-AB-4567
- **Manufacture Year:** 2019
- **Insured Declared Value (IDV):** ₹7,00,000
- **Driver Age:** 34
- **Accident History:** 1 claim
- **Third Party Cover:** Yes
- **Add-ons:** Zero Depreciation, Engine Protect
"
POL3040,USR1013,Health,Active,12-02-2023 00:00,12-07-2024 00:00,28673.52,505428.71,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3042,USR1014,Pet,Active,12-02-2020 00:00,27-09-2024 00:00,25902.9,896267.96,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3043,USR1014,Health,Active,14-02-2024 00:00,28-09-2025 00:00,27507.86,1269732.54,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3045,USR1015,Car,Pending,03-10-2020 00:00,26-08-2026 00:00,7930.48,1345351.63,"## For Car Insurance
- **Vehicle Type:** SUV
- **Vehicle Model:** Swift 456
- **Registration Number:** MH-12-AB-4567
- **Manufacture Year:** 2019
- **Insured Declared Value (IDV):** ₹7,00,000
- **Driver Age:** 34
- **Accident History:** 1 claim
- **Third Party Cover:** Yes
- **Add-ons:** Zero Depreciation, Engine Protect
"
POL3046,USR1015,Home,Expired,26-12-2022 00:00,17-07-2025 00:00,23436.91,1210588.87,"## For Home Insurance
- **Property Type:** Apartment
- **Property Value:** ₹50,00,000
- **Year Built:** 2015
- **Natural Disaster Cover:** Yes
- **Theft Cover:** Yes
- **Structure & Contents:** Combined
"
POL3048,USR1016,Health,Active,14-06-2016 00:00,19-02-2027 00:00,35647.66,1511292.96,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3051,USR1017,Life,Expired,05-10-2019 00:00,02-09-2026 00:00,7129.61,472394.13,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3052,USR1017,Health,Expired,14-10-2018 00:00,13-06-2024 00:00,47084.52,1553068.66,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3053,USR1017,Home,Under Review,12-02-2020 00:00,29-01-2026 00:00,13936.46,803035.26,"## For Home Insurance
- **Property Type:** Apartment
- **Property Value:** ₹50,00,000
- **Year Built:** 2015
- **Natural Disaster Cover:** Yes
- **Theft Cover:** Yes
- **Structure & Contents:** Combined
"
POL3054,USR1018,Pet,Active,29-10-2022 00:00,11-11-2024 00:00,5236.83,864098.51,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3055,USR1018,Life,Under Review,05-06-2018 00:00,13-05-2027 00:00,30790.88,1342257.83,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3056,USR1018,Health,Expired,02-01-2016 00:00,22-01-2027 00:00,11176.26,1038786.23,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3057,USR1019,Travel,Under Review,12-06-2022 00:00,18-07-2025 00:00,11408.22,1088848.74,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3060,USR1020,Business,Expired,14-04-2021 00:00,01-02-2026 00:00,30737.5,1076704.4,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3063,USR1021,Car,Expired,03-06-2024 00:00,24-01-2027 00:00,29721.76,1631403.55,"## For Car Insurance
- **Vehicle Type:** SUV
- **Vehicle Model:** Swift 456
- **Registration Number:** MH-12-AB-4567
- **Manufacture Year:** 2019
- **Insured Declared Value (IDV):** ₹7,00,000
- **Driver Age:** 34
- **Accident History:** 1 claim
- **Third Party Cover:** Yes
- **Add-ons:** Zero Depreciation, Engine Protect
"
POL3064,USR1021,Car,Expired,15-12-2022 00:00,24-01-2027 00:00,9141.41,611724.05,"## For Car Insurance
- **Vehicle Type:** SUV
- **Vehicle Model:** Swift 456
- **Registration Number:** MH-12-AB-4567
- **Manufacture Year:** 2019
- **Insured Declared Value (IDV):** ₹7,00,000
- **Driver Age:** 34
- **Accident History:** 1 claim
- **Third Party Cover:** Yes
- **Add-ons:** Zero Depreciation, Engine Protect
"
POL3066,USR1022,Health,Cancelled,24-02-2017 00:00,01-12-2024 00:00,47672.99,1958546.36,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3069,USR1023,Health,Expired,10-12-2019 00:00,23-02-2026 00:00,33711.93,1315257.73,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3070,USR1023,Business,Under Review,26-04-2024 00:00,25-08-2024 00:00,4870.57,1560720.36,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3072,USR1024,Pet,Active,28-05-2024 00:00,24-08-2024 00:00,17881.06,264834.67,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3073,USR1024,Travel,Expired,28-04-2023 00:00,03-11-2024 00:00,5810.61,1383921.4,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3074,USR1024,Life,Cancelled,08-07-2022 00:00,16-02-2025 00:00,18266.94,1397038.57,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3075,USR1025,Life,Cancelled,12-12-2015 00:00,04-02-2027 00:00,21449.66,1868684.99,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3078,USR1026,Business,Expired,25-10-2019 00:00,25-03-2027 00:00,3400.5,609077.67,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3081,USR1027,Travel,Active,13-09-2020 00:00,21-11-2025 00:00,24358.81,1422986.95,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3084,USR1028,Business,Pending,08-02-2021 00:00,02-10-2026 00:00,6440.99,1404009.33,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3085,USR1028,Travel,Expired,10-01-2019 00:00,19-09-2026 00:00,3904.62,1175832.38,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3086,USR1028,Business,Pending,14-11-2022 00:00,29-05-2026 00:00,17053.7,1503971.05,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3087,USR1029,Pet,Pending,07-09-2023 00:00,05-08-2025 00:00,21971.69,1314178.21,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3088,USR1029,Pet,Pending,01-11-2019 00:00,16-03-2027 00:00,33705.51,257758.07,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3090,USR1030,Travel,Expired,22-11-2018 00:00,28-01-2025 00:00,15423.42,563569.48,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3091,USR1030,Pet,Under Review,28-03-2017 00:00,10-05-2026 00:00,4339.15,1757139.05,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3092,USR1030,Car,Expired,18-10-2022 00:00,06-04-2026 00:00,43710.33,669613.05,"## For Car Insurance
- **Vehicle Type:** SUV
- **Vehicle Model:** Swift 456
- **Registration Number:** MH-12-AB-4567
- **Manufacture Year:** 2019
- **Insured Declared Value (IDV):** ₹7,00,000
- **Driver Age:** 34
- **Accident History:** 1 claim
- **Third Party Cover:** Yes
- **Add-ons:** Zero Depreciation, Engine Protect
"
POL3093,USR1031,Business,Under Review,14-05-2016 00:00,23-12-2026 00:00,39709.32,1076432.4,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3096,USR1032,Pet,Active,15-10-2015 00:00,25-08-2024 00:00,10328.5,82070.13,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3097,USR1032,Life,Active,05-03-2020 00:00,24-12-2026 00:00,43761.15,761700.88,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3098,USR1032,Travel,Expired,08-01-2024 00:00,02-08-2024 00:00,5122.33,1054721.31,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3099,USR1033,Pet,Pending,27-02-2022 00:00,26-10-2026 00:00,7470.74,1962211.28,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3100,USR1033,Home,Pending,07-07-2018 00:00,17-12-2025 00:00,47456.56,40539.34,"## For Home Insurance
- **Property Type:** Apartment
- **Property Value:** ₹50,00,000
- **Year Built:** 2015
- **Natural Disaster Cover:** Yes
- **Theft Cover:** Yes
- **Structure & Contents:** Combined
"
POL3101,USR1033,Travel,Expired,19-08-2016 00:00,05-01-2025 00:00,6994.72,1116250.95,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3102,USR1034,Pet,Pending,18-01-2020 00:00,04-10-2024 00:00,1299.87,396216.64,"## For Pet Insurance
- **Pet Type:** Dog
- **Breed:** Golden Retriever
- **Pet Age:** 5 years
- **Vet Visits Covered:** Yes
- **Accident/Illness Cover:** Yes
- **Vaccination Coverage:** Yes
"
POL3105,USR1035,Life,Expired,01-10-2019 00:00,12-04-2026 00:00,33328.18,156868.72,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3106,USR1035,Business,Active,19-12-2015 00:00,18-07-2024 00:00,20776.7,246048.39,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3107,USR1035,Life,Expired,25-03-2021 00:00,17-06-2025 00:00,26234.69,1025707.92,"## For Life Insurance
- **Policy Term (Years):** 20
- **Sum Assured:** ₹25,00,000
- **Payment Term:** Yearly
- **Nominee Name:** John Doe
- **Medical Exam Required:** Yes
- **Smoker Status:** Non-Smoker
"
POL3108,USR1036,Car,Active,07-01-2016 00:00,21-10-2024 00:00,5440.7,1720260,"## For Car Insurance
- **Vehicle Type:** SUV
- **Vehicle Model:** Swift 456
- **Registration Number:** MH-12-AB-4567
- **Manufacture Year:** 2019
- **Insured Declared Value (IDV):** ₹7,00,000
- **Driver Age:** 34
- **Accident History:** 1 claim
- **Third Party Cover:** Yes
- **Add-ons:** Zero Depreciation, Engine Protect
"
POL3109,USR1036,Home,Pending,15-07-2015 00:00,08-06-2025 00:00,16467.75,1754017.51,"## For Home Insurance
- **Property Type:** Apartment
- **Property Value:** ₹50,00,000
- **Year Built:** 2015
- **Natural Disaster Cover:** Yes
- **Theft Cover:** Yes
- **Structure & Contents:** Combined
"
POL3110,USR1036,Travel,Under Review,18-01-2023 00:00,04-10-2025 00:00,44054.21,1882426.23,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
POL3111,USR1037,Health,Expired,16-12-2015 00:00,25-12-2025 00:00,40383.15,644011,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3114,USR1038,Health,Cancelled,31-05-2019 00:00,23-05-2026 00:00,23223.74,1644265.17,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3115,USR1038,Business,Expired,08-02-2018 00:00,08-04-2026 00:00,34679.64,1485744.97,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3117,USR1039,Home,Active,26-12-2021 00:00,09-11-2025 00:00,28903.4,1052894.53,"## For Home Insurance
- **Property Type:** Apartment
- **Property Value:** ₹50,00,000
- **Year Built:** 2015
- **Natural Disaster Cover:** Yes
- **Theft Cover:** Yes
- **Structure & Contents:** Combined
"
POL3118,USR1039,Business,Under Review,26-08-2016 00:00,09-08-2025 00:00,41162.05,1620963.57,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3120,USR1040,Health,Cancelled,12-01-2019 00:00,10-02-2026 00:00,16658.8,1973874.61,"## For Health Insurance
- **Coverage Limit:** ₹10,00,000
- **Hospital Network:** Network B
- **Cashless Available:** Yes
- **Waiting Period:** 2 months
- **Includes Maternity:** No
- **Critical Illness Cover:** Yes
- **Deductibles:** ₹10,000
"
POL3121,USR1040,Car,Cancelled,04-08-2022 00:00,27-02-2025 00:00,43012.4,945270.33,"## For Car Insurance
- **Vehicle Type:** SUV
- **Vehicle Model:** Swift 456
- **Registration Number:** MH-12-AB-4567
- **Manufacture Year:** 2019
- **Insured Declared Value (IDV):** ₹7,00,000
- **Driver Age:** 34
- **Accident History:** 1 claim
- **Third Party Cover:** Yes
- **Add-ons:** Zero Depreciation, Engine Protect
"
POL3123,USR1041,Business,Active,20-12-2016 00:00,06-11-2025 00:00,10282.17,504373.85,"## For Business Insurance
- **Business Type:** Retail
- **Annual Revenue:** 1M–10M
- **Employee Count:** 50
- **Property Cover:** Yes
- **Liability Cover:** Yes
- **Cyber Attack Cover:** No
"
POL3126,USR1042,Travel,Under Review,20-06-2022 00:00,06-09-2024 00:00,2302.26,1205106.21,"## For Travel Insurance
- **Travel Region:** International
- **Trip Duration:** 14 days
- **Coverage Type:** Individual
- **Baggage Loss Cover:** Yes
- **Flight Delay Cover:** Yes
- **Medical Emergency Cover:** Yes
"
